Company,year,Current ratio (times),Debt to Asset ratio,Debt to equity ratio (times),Equity turnover,Free Cash Flow Return,Interest Coverage Ratio,Invested Capital Turnover,Net profit margin,Pre Tax Margin,Quick ratio (times),Return on capital employed,Return on equity,Return on sales,Return on total assets,Sales Growth Over Past Year,Acquired,Log Sales,Log Total assets
Concentrix Services India Pvt. Ltd.,2013,0.67,0.16,0.21,1.08,-0.07,,0.95,-14.24,-14.24,0.67,-13.57,-15.48,-2.86,-12.37,16.61,1,5.68391984555995,5.901539839579995
Concentrix Services India Pvt. Ltd.,2014,0.67,0.16,0.21,1.08,-0.07,,0.95,-14.24,-14.24,0.67,-13.57,-15.48,-2.86,-12.37,16.61,1,5.68391984555995,5.901539839579995
Concentrix Services India Pvt. Ltd.,2015,0.67,0.16,0.21,1.08,-0.07,,0.95,-14.24,-14.24,0.67,-13.57,-15.48,-2.86,-12.37,16.61,1,5.68391984555995,5.901539839579995
Concentrix Services India Pvt. Ltd.,2016,0.67,0.16,0.21,1.08,-0.07,,0.95,-14.24,-14.24,0.67,-13.57,-15.48,-2.86,-12.37,16.61,1,5.68391984555995,5.901539839579995
Concentrix Services India Pvt. Ltd.,2017,0.67,0.16,0.21,1.08,-0.07,,0.95,-14.24,-14.24,0.67,-13.57,-15.48,-2.86,-12.37,16.61,1,5.68391984555995,5.901539839579995
Concentrix Services India Pvt. Ltd.,2018,0.67,0.16,0.21,1.08,-0.07,,0.95,-14.24,-14.24,0.67,-13.57,-15.48,-2.86,-12.37,16.61,1,5.68391984555995,5.901539839579995
Concentrix Services India Pvt. Ltd.,2019,0.67,0.16,0.21,1.08,-0.07,,0.95,-14.24,-14.24,0.67,-13.57,-15.48,-2.86,-12.37,16.61,1,5.68391984555995,5.901539839579995
Concentrix Services India Pvt. Ltd.,2020,0.67,0.16,0.21,1.08,-0.07,,0.95,-14.24,-14.24,0.67,-13.57,-15.48,-2.86,-12.37,16.61,1,5.68391984555995,5.901539839579995
Concentrix Services India Pvt. Ltd.,2021,0.67,0.16,0.21,1.08,-0.07,,0.95,-14.24,-14.24,0.67,-13.57,-15.48,-2.86,-12.37,16.61,1,5.68391984555995,5.901539839579995
Cybertech Systems & Software Ltd.,2000,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2001,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2002,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2003,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2004,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2005,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2006,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2007,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2008,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2009,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2010,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2011,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2012,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2013,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2014,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2015,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2016,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2017,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2018,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2019,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2020,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Cybertech Systems & Software Ltd.,2021,2.15,0.0,0.0,0.32,0.1,25.12,0.32,9.81,-24.29,2.15,3.75,3.75,12.87,3.29,-3.61,1,5.616771097666572,6.909952862525624
Digispice Technologies Ltd.,2000,1.31,0.32,1.35,8.55,-0.03,2.84,3.72,3.66,3.7,1.03,13.66,31.4,7.72,7.22,77.61,1,6.33930054237951,5.783517442675055
Digispice Technologies Ltd.,2001,1.92,0.21,0.61,7.03,0.06,3.24,3.74,1.57,4.49,1.4,5.93,11.14,6.7,3.25,30.37,1,6.604485683188642,5.97736562272848
Digispice Technologies Ltd.,2002,1.49,0.27,0.88,5.6,-0.07,1.66,3.2,0.32,1.55,1.21,1.04,1.82,3.77,0.58,3.89,1,6.64261717096525,6.140961558253893
Digispice Technologies Ltd.,2003,1.84,0.27,0.83,7.46,0.03,2.87,4.03,1.31,2.86,1.44,5.32,9.86,5.02,3.08,44.1,1,7.007962539399163,6.183117431330821
Digispice Technologies Ltd.,2004,1.74,0.04,0.08,5.06,0.14,4.11,4.69,3.12,3.55,1.29,14.79,15.95,5.12,7.77,0.0,1,7.257425748767987,6.355065451117447
Digispice Technologies Ltd.,2005,1.3,0.09,0.23,3.97,0.16,5.16,3.43,2.75,3.65,0.85,9.54,11.06,4.81,4.81,-17.4,1,7.06621096467411,6.658267752328325
Digispice Technologies Ltd.,2006,1.67,0.06,0.1,4.01,-0.23,3.6,3.53,1.24,2.12,1.1,4.69,5.34,-2.37,2.72,68.23,1,7.586347041532884,7.0431599159883405
Digispice Technologies Ltd.,2007,1.1,0.01,0.03,3.92,0.21,33.26,3.7,3.78,6.38,0.76,14.32,15.15,4.69,8.13,44.52,1,7.954582924500486,7.35538547925098
Digispice Technologies Ltd.,2008,1.24,0.01,0.02,8.68,0.11,2.94,8.48,0.61,0.21,0.98,5.22,5.35,0.56,2.46,135.78,1,8.812322464503067,7.495986289592523
Digispice Technologies Ltd.,2009,1.12,0.0,0.0,9.86,0.19,137.0,9.79,6.63,10.21,0.75,65.36,65.89,9.81,21.76,54.81,1,9.2493783761315,8.429803561079648
Digispice Technologies Ltd.,2010,1.51,0.0,0.0,2.32,0.01,138.43,2.32,7.96,9.53,1.24,19.21,19.21,6.69,11.45,-9.08,1,9.154214366196054,9.112661388771087
Digispice Technologies Ltd.,2011,1.11,0.0,0.0,0.01,-0.03,93.62,0.01,-147.7,-4.43,0.83,-3.46,-3.46,-252.54,-2.58,-99.65,1,3.5115454388310208,9.00509813179766
Digispice Technologies Ltd.,2012,0.97,0.0,0.0,0.01,0.08,48.81,0.01,16.62,9.68,0.64,0.83,0.83,-177.98,0.62,32.84,1,3.7954891891721947,9.048186081871735
Digispice Technologies Ltd.,2013,3.79,0.0,0.0,0.12,-0.05,4.0,0.12,2.78,5.13,3.66,0.44,0.44,-24.97,0.37,1566.97,1,6.60907966505549,8.722742874329398
Digispice Technologies Ltd.,2014,4.11,0.0,0.0,0.01,-0.03,4.0,0.01,-7.89,-1459.62,3.97,-0.41,-0.41,-310.38,-0.4,-93.25,1,3.914021008090819,7.9241808966623
Digispice Technologies Ltd.,2015,4.43,0.0,0.0,0.75,-0.14,4.0,0.75,-35.26,-32.67,4.31,-28.44,-28.47,-1.78,-24.09,3135.93,1,7.390921894754154,7.759230117921387
Digispice Technologies Ltd.,2016,1.82,0.0,0.0,1.33,0.04,4.0,1.33,-24.11,-44.34,0.92,-32.91,-32.93,-1.45,-19.88,0.64,1,7.397255116033375,7.443956209079356
Digispice Technologies Ltd.,2017,3.29,0.03,0.06,0.78,-0.02,4.0,0.75,-40.38,-38.96,2.23,-35.16,-36.71,-2.64,-21.42,-8.7,1,7.306195772153337,8.47664199356059
Digispice Technologies Ltd.,2018,3.29,0.03,0.06,0.78,-0.02,4.0,0.75,-40.38,-38.96,2.23,-35.16,-36.71,-2.64,-21.42,-8.7,1,7.306195772153337,8.47664199356059
Digispice Technologies Ltd.,2019,3.29,0.03,0.06,0.78,-0.02,4.0,0.75,-40.38,-38.96,2.23,-35.16,-36.71,-2.64,-21.42,-8.7,1,7.306195772153337,8.47664199356059
Digispice Technologies Ltd.,2020,3.29,0.03,0.06,0.78,-0.02,4.0,0.75,-40.38,-38.96,2.23,-35.16,-36.71,-2.64,-21.42,-8.7,1,7.306195772153337,8.47664199356059
Digispice Technologies Ltd.,2021,3.29,0.03,0.06,0.78,-0.02,4.0,0.75,-40.38,-38.96,2.23,-35.16,-36.71,-2.64,-21.42,-8.7,1,7.306195772153337,8.47664199356059
E R P Soft Systems Ltd.,2000,14.5,0.0,0.0,0.08,,,0.08,,16.67,14.5,,,,,0.0,1,,
E R P Soft Systems Ltd.,2001,9.666666666666668,0.0,0.0,0.41,,,0.41,,78.38,9.666666666666668,,,,,516.67,1,,
E R P Soft Systems Ltd.,2002,4.833333333333334,0.0,0.0,0.13,0.04,,0.13,50.0,50.0,4.833333333333334,6.42,6.42,71.43,6.42,-62.16,1,0.3364722366212129,2.468099531471619
E R P Soft Systems Ltd.,2003,0.0,0.0,0.0,0.25,0.15,,0.25,70.97,70.97,0.0,17.46,17.46,80.65,17.39,121.43,1,1.1314021114911006,2.653241964607215
E R P Soft Systems Ltd.,2004,3.67,0.0,0.0,0.24,0.17,,0.24,67.57,70.27,3.67,16.39,16.39,78.38,16.18,19.35,1,1.308332819650179,2.8273136219290276
E R P Soft Systems Ltd.,2005,0.0,0.0,0.0,0.21,0.28,,0.21,90.78,90.78,0.0,55.65,55.65,73.47,54.12,32.43,1,1.589235205116581,3.414442608412176
E R P Soft Systems Ltd.,2006,3.0,0.0,0.0,0.56,0.47,,0.56,90.83,91.28,3.0,50.45,50.45,91.28,49.69,344.9,1,3.0819099697950434,3.8979240810486444
E R P Soft Systems Ltd.,2007,0.8,0.0,0.0,0.07,0.13,,0.07,66.67,77.78,0.8,4.77,4.77,86.11,4.73,-83.49,1,1.2809338454620642,3.9531649487593215
E R P Soft Systems Ltd.,2008,0.06,0.0,0.0,0.07,0.12,,0.07,33.33,44.44,0.06,2.3,2.3,62.86,2.21,-2.78,1,1.252762968495368,4.030694535145645
E R P Soft Systems Ltd.,2009,0.35,0.0,0.0,0.09,0.03,,0.09,43.4,50.94,0.35,4.26,4.26,61.22,4.06,40.0,1,1.589235205116581,4.041295341132285
E R P Soft Systems Ltd.,2010,46.17,0.0,0.0,0.08,-0.06333333333333334,,0.08,39.46,38.3,46.17,4.1866666666666665,4.1866666666666665,58.35666666666667,3.8899999999999997,-6.12,1,1.7578579175523736,4.146304301152812
E R P Soft Systems Ltd.,2011,47.67,0.0,0.0,0.07,-0.15666666666666668,,0.07,35.519999999999996,38.0,46.83,4.113333333333333,4.113333333333333,55.49333333333333,3.7199999999999998,-10.87,1,1.9021075263969205,4.241326752570746
E R P Soft Systems Ltd.,2012,4.89,0.0,0.0,0.13,-0.25,,0.13,31.58,48.72,4.82,4.04,4.04,52.63,3.55,85.37,1,2.028148247292285,4.328098292648326
E R P Soft Systems Ltd.,2013,7.31,0.1,0.11,0.12,0.07,,0.11,18.06,27.78,7.2,2.0,2.12,54.17,1.77,-5.26,1,1.9740810260220096,4.26689632742025
E R P Soft Systems Ltd.,2014,13.29,0.02,0.02,0.11,0.05,,0.11,19.44,29.17,13.08,2.1,2.23,36.62,2.01,-1.39,1,1.9600947840472698,4.222444564849416
E R P Soft Systems Ltd.,2015,16.35,0.0,0.0,0.13,-0.06,,0.13,13.58,22.22,16.07,1.71,1.72,28.4,1.61,14.08,1,2.0918640616783932,4.225372824628505
E R P Soft Systems Ltd.,2016,2.02,0.0,0.0,0.13,0.01,,0.13,12.22,20.0,0.9,1.69,1.69,20.69,1.58,7.41,1,2.163323025660538,4.258445572902527
E R P Soft Systems Ltd.,2017,1.97,0.01,0.01,0.13,0.03,,0.13,14.13,20.65,1.06,1.95,1.97,22.73,1.8,1.15,1,2.174751721484161,4.298645025734831
E R P Soft Systems Ltd.,2018,2.74,0.0,0.0,0.15,0.06,,0.15,13.64,18.18,1.72,2.21,2.22,11.88,2.03,14.77,1,2.312535423847214,4.30406509320417
E R P Soft Systems Ltd.,2019,2.74,0.0,0.0,0.15,0.06,,0.15,13.64,18.18,1.72,2.21,2.22,11.88,2.03,14.77,1,2.312535423847214,4.30406509320417
E R P Soft Systems Ltd.,2020,2.74,0.0,0.0,0.15,0.06,,0.15,13.64,18.18,1.72,2.21,2.22,11.88,2.03,14.77,1,2.312535423847214,4.30406509320417
E R P Soft Systems Ltd.,2021,2.74,0.0,0.0,0.15,0.06,,0.15,13.64,18.18,1.72,2.21,2.22,11.88,2.03,14.77,1,2.312535423847214,4.30406509320417
Expleo Solutions Ltd.,2006,,,,,0.21,,,15.08,,,,,19.6,,,1,6.266441247062209,5.653541258219454
Expleo Solutions Ltd.,2007,2.83,0.0,0.0,2.72,0.18,,2.72,12.56,15.54,2.83,34.28,34.28,18.03,25.01,32.49,1,6.547789210945191,6.0342845442909105
Expleo Solutions Ltd.,2008,3.03,0.0,0.0,2.4,0.18,,2.4,12.96,18.05,3.03,32.0,32.0,17.27,22.95,27.5,1,6.790771923496318,6.42080892900609
Expleo Solutions Ltd.,2009,4.59,0.0,0.0,1.36,0.18,,1.36,10.05,11.16,4.59,13.77,13.77,16.43,10.48,-16.19,1,6.614189263371381,6.7150196838393095
Expleo Solutions Ltd.,2010,2.69,0.0,0.0,0.93,-0.03,,0.93,1.8,4.08,2.53,1.72,1.72,4.58,1.31,-17.77,1,6.418528054768642,6.815310988590857
Expleo Solutions Ltd.,2011,2.73,0.0,0.0,1.64,0.05,437.0,1.64,7.47,11.03,2.57,12.98,12.98,9.47,9.44,82.52,1,7.020190708311925,6.866724929424145
Expleo Solutions Ltd.,2012,2.72,0.12,0.18,2.12,0.12,19.97,1.93,10.07,14.36,2.68,19.72,21.62,17.77,14.89,41.05,1,7.364103597404871,7.090993082560445
Expleo Solutions Ltd.,2013,3.4,0.09,0.13,2.24,0.15,20.83,1.94,11.95,18.24,3.37,24.09,27.73,18.51,19.17,23.2,1,7.5727087251713,7.179765182039622
Expleo Solutions Ltd.,2014,3.4,0.09,0.13,2.24,0.15,20.83,1.94,11.95,18.24,3.37,24.09,27.73,18.51,19.17,23.2,1,7.5727087251713,7.179765182039622
Expleo Solutions Ltd.,2015,3.4,0.09,0.13,2.24,0.15,20.83,1.94,11.95,18.24,3.37,24.09,27.73,18.51,19.17,23.2,1,7.5727087251713,7.179765182039622
Expleo Solutions Ltd.,2016,3.4,0.09,0.13,2.24,0.15,20.83,1.94,11.95,18.24,3.37,24.09,27.73,18.51,19.17,23.2,1,7.5727087251713,7.179765182039622
Expleo Solutions Ltd.,2017,3.4,0.09,0.13,2.24,0.15,20.83,1.94,11.95,18.24,3.37,24.09,27.73,18.51,19.17,23.2,1,7.5727087251713,7.179765182039622
Expleo Solutions Ltd.,2018,3.4,0.09,0.13,2.24,0.15,20.83,1.94,11.95,18.24,3.37,24.09,27.73,18.51,19.17,23.2,1,7.5727087251713,7.179765182039622
Expleo Solutions Ltd.,2019,3.4,0.09,0.13,2.24,0.15,20.83,1.94,11.95,18.24,3.37,24.09,27.73,18.51,19.17,23.2,1,7.5727087251713,7.179765182039622
Expleo Solutions Ltd.,2020,3.4,0.09,0.13,2.24,0.15,20.83,1.94,11.95,18.24,3.37,24.09,27.73,18.51,19.17,23.2,1,7.5727087251713,7.179765182039622
Expleo Solutions Ltd.,2021,3.4,0.09,0.13,2.24,0.15,20.83,1.94,11.95,18.24,3.37,24.09,27.73,18.51,19.17,23.2,1,7.5727087251713,7.179765182039622
F C S Software Solutions Ltd.,2001,,,,,0.25,,,4.13,,,,,6.17,,,1,6.166677564664642,5.7407570774475625
F C S Software Solutions Ltd.,2002,3.65,0.02,0.02,1.83,0.14,24.0,1.75,2.46,2.69,2.83,4.32,4.51,4.24,3.38,-7.97,1,6.083587835983788,5.794536837924666
F C S Software Solutions Ltd.,2003,4.09,0.01,0.01,2.4,0.24,540.5,2.36,10.49,10.65,3.4,24.78,25.21,12.13,19.06,52.83,1,6.507725373363912,6.0156692358048
F C S Software Solutions Ltd.,2004,6.68,0.01,0.01,2.36,-0.07,1057.0,2.34,11.96,11.37,4.93,27.95,28.24,13.85,23.03,26.72,1,6.744530217879171,6.160785291724685
F C S Software Solutions Ltd.,2005,3.66,0.14,0.19,2.1,0.02,555.14,1.87,12.67,13.09,3.12,23.87,26.87,14.58,21.0,35.87,1,7.051076098426359,6.846943139585379
F C S Software Solutions Ltd.,2006,7.27,0.04,0.04,1.65,0.0,53.28,1.49,17.53,18.18,5.24,26.28,29.12,20.6,23.52,13.74,1,7.179841363809362,6.952728644624869
F C S Software Solutions Ltd.,2007,3.06,0.05,0.06,0.93,0.37,64.44,0.89,32.95,35.78,2.51,29.28,30.76,49.03,25.64,-25.39,1,6.886940139268217,7.304583193694638
F C S Software Solutions Ltd.,2008,4.34,0.06,0.07,0.68,0.07,27.26,0.64,24.1,27.06,3.69,17.88,19.0,31.43,16.21,-6.28,1,6.822088452225045,7.4430198246251456
F C S Software Solutions Ltd.,2009,6.52,0.07,0.08,0.43,0.2,26.58,0.4,23.66,23.52,6.05,9.51,10.2,46.81,9.21,4.55,1,6.866620735623582,8.098885975294776
F C S Software Solutions Ltd.,2010,9.51,0.01,0.01,0.29,-0.06,4.46,0.28,-0.19,1.81,4.53,-0.06,-0.06,7.82,-0.06,21.75,1,7.063390570513586,8.554932037916506
F C S Software Solutions Ltd.,2011,7.95,0.0,0.0,0.19,0.13,2.6950000000000003,0.19,-1.35,-1.79,6.96,-0.27,-0.27,3.73,-0.26,-15.18,1,6.898714534329988,8.585076113804199
F C S Software Solutions Ltd.,2012,5.34,0.03,0.03,0.1,-0.06,0.93,0.1,0.75,0.28,2.89,0.08,0.08,4.8,0.08,-43.04,1,6.335940383589716,8.651689118727587
F C S Software Solutions Ltd.,2013,6.81,0.01,0.01,0.15,0.01,0.93,0.15,-5.01,-4.43,4.16,-0.76,-0.78,-1.82,-0.76,50.81,1,6.7467645928900115,8.693161274238017
F C S Software Solutions Ltd.,2014,6.81,0.01,0.01,0.15,0.01,0.93,0.15,-5.01,-4.43,4.16,-0.76,-0.78,-1.82,-0.76,50.81,1,6.7467645928900115,8.693161274238017
F C S Software Solutions Ltd.,2015,6.81,0.01,0.01,0.15,0.01,0.93,0.15,-5.01,-4.43,4.16,-0.76,-0.78,-1.82,-0.76,50.81,1,6.7467645928900115,8.693161274238017
F C S Software Solutions Ltd.,2016,6.81,0.01,0.01,0.15,0.01,0.93,0.15,-5.01,-4.43,4.16,-0.76,-0.78,-1.82,-0.76,50.81,1,6.7467645928900115,8.693161274238017
F C S Software Solutions Ltd.,2017,6.81,0.01,0.01,0.15,0.01,0.93,0.15,-5.01,-4.43,4.16,-0.76,-0.78,-1.82,-0.76,50.81,1,6.7467645928900115,8.693161274238017
F C S Software Solutions Ltd.,2018,6.81,0.01,0.01,0.15,0.01,0.93,0.15,-5.01,-4.43,4.16,-0.76,-0.78,-1.82,-0.76,50.81,1,6.7467645928900115,8.693161274238017
F C S Software Solutions Ltd.,2019,6.81,0.01,0.01,0.15,0.01,0.93,0.15,-5.01,-4.43,4.16,-0.76,-0.78,-1.82,-0.76,50.81,1,6.7467645928900115,8.693161274238017
F C S Software Solutions Ltd.,2020,6.81,0.01,0.01,0.15,0.01,0.93,0.15,-5.01,-4.43,4.16,-0.76,-0.78,-1.82,-0.76,50.81,1,6.7467645928900115,8.693161274238017
F C S Software Solutions Ltd.,2021,6.81,0.01,0.01,0.15,0.01,0.93,0.15,-5.01,-4.43,4.16,-0.76,-0.78,-1.82,-0.76,50.81,1,6.7467645928900115,8.693161274238017
Firstsource Solutions Ltd.,2002,2.66,0.73,4.12,1.89,-0.12,,0.37,-36.07,-36.07,2.66,-14.48,-72.97,-28.97,-13.12,,1,5.859931157146132,7.627252234864865
Firstsource Solutions Ltd.,2003,0.57,0.77,5.21,2.77,-0.07,3.89,0.49,2.68,2.68,0.57,1.34,7.61,9.6,1.23,200.2,1,6.959208560571053,7.88363480226795
Firstsource Solutions Ltd.,2004,0.59,0.7,3.24,3.94,-0.03,4.26,0.81,3.52,3.57,0.59,2.9,14.03,15.56,2.65,140.82,1,7.838106694504626,8.332597049714266
Firstsource Solutions Ltd.,2005,0.55,0.65,2.98,3.34,0.08,3.34,0.81,4.81,5.34,0.55,3.96,16.24,18.33,3.51,29.03,1,8.092973306824426,8.502627626736922
Firstsource Solutions Ltd.,2006,2.9,0.07,0.08,0.85,0.01,11.82,0.61,16.68,17.1,2.9,10.53,14.55,26.47,9.55,32.26,1,8.372583517756135,9.273352729117708
Firstsource Solutions Ltd.,2007,0.38,0.52,2.18,0.69,0.04,22.56,0.38,11.15,9.08,0.38,4.38,8.05,20.86,3.59,14.15,1,8.504938407349222,9.973913396826962
Firstsource Solutions Ltd.,2008,1.58,0.55,1.44,0.78,0.02,14.07,0.29,-6.26,1.57,1.58,-2.48,-6.69,15.67,-2.13,14.6,1,8.641249840078217,10.09592856779456
Firstsource Solutions Ltd.,2009,3.59,0.53,1.24,0.69,0.07,5.58,0.3,7.95,7.45,3.59,2.96,6.91,18.29,2.82,16.9,1,8.797427598732861,10.038791747817006
Firstsource Solutions Ltd.,2010,1.95,0.54,1.46,0.74,0.03,6.87,0.32,8.81,9.04,1.95,3.05,7.14,14.2,2.87,6.23,1,8.857899309640938,10.10763583055619
Firstsource Solutions Ltd.,2011,0.55,0.51,1.37,0.85,0.04,11.96,0.35,5.34,4.33,0.55,2.38,5.75,8.59,2.16,8.07,1,8.935469221451418,10.059602017160909
Firstsource Solutions Ltd.,2012,0.52,0.09,0.12,0.87,0.2,27.2,0.53,11.06,11.12,0.51,6.77,11.1,14.85,5.91,19.87,1,9.116732742011006,9.693167675315312
Firstsource Solutions Ltd.,2013,0.52,0.09,0.12,0.87,0.2,27.2,0.53,11.06,11.12,0.51,6.77,11.1,14.85,5.91,19.87,1,9.116732742011006,9.693167675315312
Firstsource Solutions Ltd.,2014,0.52,0.09,0.12,0.87,0.2,27.2,0.53,11.06,11.12,0.51,6.77,11.1,14.85,5.91,19.87,1,9.116732742011006,9.693167675315312
Firstsource Solutions Ltd.,2015,0.52,0.09,0.12,0.87,0.2,27.2,0.53,11.06,11.12,0.51,6.77,11.1,14.85,5.91,19.87,1,9.116732742011006,9.693167675315312
Firstsource Solutions Ltd.,2016,0.52,0.09,0.12,0.87,0.2,27.2,0.53,11.06,11.12,0.51,6.77,11.1,14.85,5.91,19.87,1,9.116732742011006,9.693167675315312
Firstsource Solutions Ltd.,2017,0.52,0.09,0.12,0.87,0.2,27.2,0.53,11.06,11.12,0.51,6.77,11.1,14.85,5.91,19.87,1,9.116732742011006,9.693167675315312
Firstsource Solutions Ltd.,2018,0.52,0.09,0.12,0.87,0.2,27.2,0.53,11.06,11.12,0.51,6.77,11.1,14.85,5.91,19.87,1,9.116732742011006,9.693167675315312
Firstsource Solutions Ltd.,2019,0.52,0.09,0.12,0.87,0.2,27.2,0.53,11.06,11.12,0.51,6.77,11.1,14.85,5.91,19.87,1,9.116732742011006,9.693167675315312
Firstsource Solutions Ltd.,2020,0.52,0.09,0.12,0.87,0.2,27.2,0.53,11.06,11.12,0.51,6.77,11.1,14.85,5.91,19.87,1,9.116732742011006,9.693167675315312
Firstsource Solutions Ltd.,2021,0.52,0.09,0.12,0.87,0.2,27.2,0.53,11.06,11.12,0.51,6.77,11.1,14.85,5.91,19.87,1,9.116732742011006,9.693167675315312
Geometric Ltd. [Merged],2000,2.47,0.0,0.0,0.95,0.17,416.0,0.9,17.69,18.49,2.47,16.69,17.48,24.52,12.82,39.65,1,6.106354512981937,6.492391338694725
Geometric Ltd. [Merged],2001,2.42,0.0,0.0,1.01,0.17,295.0366666666667,1.01,20.77,21.12,2.42,22.09,22.09,25.49,17.22,28.77,1,6.359227788032134,6.7013459266590925
Geometric Ltd. [Merged],2002,2.65,0.03,0.04,0.89,0.13,174.07333333333335,0.87,21.49,23.01,2.65,19.82,20.26,27.34,16.17,4.07,1,6.3990939780455225,6.7868298110532566
Geometric Ltd. [Merged],2003,1.9,0.0,0.0,0.81,0.15,53.11,0.79,22.71,25.51,1.9,20.37,20.75,23.02,16.9,8.17,1,6.4775875582336,6.994391585641684
Geometric Ltd. [Merged],2004,1.46,0.01,0.01,1.01,0.02,539.8,1.0,19.8,25.0,1.46,21.44,21.61,26.6,16.99,51.61,1,6.893757769338284,7.234537865055833
Geometric Ltd. [Merged],2005,1.47,0.0,0.0,1.09,0.1,750.67,1.08,13.29,16.89,1.47,15.41,15.51,19.18,12.33,25.55,1,7.121252453244542,7.301147805856032
Geometric Ltd. [Merged],2006,0.81,0.08,0.11,1.14,0.0,48.27,1.07,15.66,17.71,0.81,18.15,19.34,18.01,15.58,46.76,1,7.504887031108395,7.817786460685148
Geometric Ltd. [Merged],2007,0.79,0.06,0.07,0.87,0.09,21.41,0.8,11.13,12.8,0.79,10.02,10.91,8.25,8.71,-1.85,1,7.486220859458467,7.886344525050516
Geometric Ltd. [Merged],2008,2.35,0.05,0.06,1.17,-0.03,2.41,1.1,0.25,15.03,2.35,0.3,0.32,11.42,0.24,31.51,1,7.76012596509006,7.88087992760831
Geometric Ltd. [Merged],2009,2.61,0.03,0.04,1.06,0.02,40.34,1.01,6.07,6.43,2.61,6.56,6.88,10.29,5.15,-8.64,1,7.669728650471935,7.917536353943631
